,Website,Type,Parent,Founded,Ticker,is_defunct,HQ,HQ State,HQ City,Net Worth,Industry,Products_and_Services,Subsidiaries,Aliases,People,Number of employees
Host Hotels %26 Resorts,hosthotels.com,Public company,,1993,HST,,"Bethesda Avenue, Suite, Bethesda, Maryland, United States",Maryland,Bethesda,XXLarge ($1B+),['Real estate investment trust'],,,['Host Marriott Corporation'],"['Richard E. Marriott', 'James F. Risoleo', 'Sourav Ghosh']",Medium-Small (50-199 Employees)
Stohr Cars,,,,,,,,,,,,,,['Stohr DSR'],,
SmithGroup,smithgroup.com,,,1853,,,,,,,['Architecture'],"['Architecture, Building Enclosure Consulting, Campus Planning, Campus Strategy & Analytics, Civil Engineering, Coastal Engineering, Energy & Environmental Modeling, Fire Protection & Life Safety Engineering, Historic Preservation, Interiors, Lab Planning, Landscape Architecture, Lighting Design, Medical Planning, MEP Engineering, Programming, Strategy, Structural Engineering, Sustainable Design, Urban Design, Urban Planning']",,,['Sheldon Smith'],"Large (1,000-4,999 Employees)"
Thiokol,,,['Cordant Technologies'],1929,,True,"Ogden, Utah, US",Utah,Ogden,,"['Manufacturing', 'Chemicals', 'Aerospace']","['Snowcats', 'Rocket engines']",,,,"XXLarge (10,000+ Employees)"
Circuit City ,circuitcity.com,Private Public,,1949,CC,True,"Richmond, Virginia, United States",Virginia,Richmond,,['Retail'],['Consumer electronics'],,"['CircuitCity.com, Inc.', 'Wards Company', 'Circuit City Stores, Inc.']","['(website)', 'Ronny Shmoel (since 2016)', 'Samuel S. Wurtzel (original)', 'Systemax', 'Ronny Shmoel (revival)']",
VF Corporation,vfc.com,Public,,1899,VFC,,"Denver, Colorado, US",Colorado,Denver,XXLarge ($1B+),"['Apparel', 'Accessories']","['apparel', 'Footwear']","['Altra Running', 'Supreme', 'The North Face', 'Eastpak', 'Napapijri', 'Vans', 'Dickies', 'JanSport', 'Kipling', 'AND1 Lab', 'SmartWool', 'Timberland', 'Icebreaker']",['Vanity Fair Mills'],"['Barbey family trusts', 'Bracken Darrell', 'John Barbey']","XXLarge (10,000+ Employees)"
G. Fox %26 Co.,,,['The May Department Stores Company'],1847,,True,"Hartford, Connecticut, US",Connecticut,Hartford,,['Retail'],"['Clothing', 'furniture', 'housewares', 'jewelry', 'beauty products', 'footwear', 'bedding']",,"[""Filene's""]",,
Taylor Shellfish Company,taylorshellfishfarms.com,,,1969,,,"Shelton, Washington, United States",Washington,Shelton,,['Seafood'],"['Oysters, clams, mussels, geoduck']",,,,Medium (200-499 Employees)
PricewaterhouseCoopers,pwc.com,Members have different legal structures; both UK and US firms are limited liability partnerships,,1998,,,"London, England",,London,XXLarge ($1B+),['Professional services'],"['Risk assurance', 'Risk advisory', 'Legal services', 'Assurance', 'Digital Transformation', 'Management consulting', 'Data', 'Forensic accounting', 'Financial advisory', 'Tax advisory', 'analytics']",,['PwC'],"['Samuel Lowell Price', 'William Cooper', 'Robert Moritz', 'Edwin Waterhouse']","XXLarge (10,000+ Employees)"
Lolly Wolly Doodle,lollywollydoodle.com,Private,,,,,"Lexington, North Carolina, US",North Carolina,Lexington,Medium-Small ($10MM- $50MM),"[""Children's and women's clothing""]",,,,"['Brandi Tysinger-Temple', 'directors', 'Sherry Frydenlund', 'Dan Frydenlund']",Medium (200-499 Employees)
Charles %26 Colvard,charlesandcolvard.com,Public,,1995,CTHR,,"Research Triangle Park, North Carolina, United States",North Carolina,Triangle,Medium-Small ($10MM- $50MM),['Gemstone Manufacturer/Jewelry'],['Moissanite'],,,"['Clint J. Pete ()', 'Charles Eric Hunter', 'Neal Ira Goldman ( )', ""Don O'Connell (""]",Medium-Small (50-199 Employees)
Gerland Corporation,,Private,,1967,,,"Houston, Texas",Texas,Houston,,['Retail'],"['Beer, dairy, delicatessen, frozen foods, general merchandise, meat, pharmacy, produce, seafood, wine.']",,,,
Moe%27s Southwest Grill,moes.com,Subsidiary,['Focus Brands'],2000,,,"Atlanta, Georgia, US",Georgia,Atlanta,XLarge ($200MM-$1B),"['Restaurants', 'Fast Casual']","['Mexican style cuisine', 'Southwestern fare', 'other']",,,"['Alex Williams ( )', 'H. Martin Sprock III']","XXLarge (10,000+ Employees)"
Schlumberger,slb.com,Public,,1926,SLB,,"Houston, Texas, United States",Texas,Houston,XXLarge ($1B+),"['services and equipment', 'Oilfield']",,,,"['Marcel Schlumberger', 'Olivier Le Peuch', 'Conrad Schlumberger']","XXLarge (10,000+ Employees)"
Mesaba Airlines,mesaba.com,,,1944,,,"Eagan, Minnesota",Minnesota,Eagan,,,,,,['John Spanjers ( )'],
Objective Interface Systems,ois.com,Private,,,,,"Herndon, Virginia, United States",Virginia,Herndon,,"['Computer software', 'Computer hardware', 'Research and development', 'Publishing']","['Black Channel', 'ORBexpress']",,,"['Bill Beckwith, /']",
Amano Artisan Chocolate,amanochocolate.com,,,2006,,,"Orem, Utah",Utah,Orem,,['Manufacturing'],['Confectionery'],,,"['Art Pollard, Clark Goble']",
The Interpublic Group of Companies,interpublic.com,Public,,1930,IPG,,"Third Avenue, New York City, New York, United States",New York,Avenue,XXLarge ($1B+),['Advertising agency'],,,"['McCann-Erickson, Inc.']",['Philippe Krakowsky'],"XXLarge (10,000+ Employees)"
Bass Pro Shops,basspro.com,Private,,1972,,,"Springfield, Missouri",Missouri,Springfield,XXLarge ($1B+),['Retail'],"['Hunting, fishing, and outdoor merchandise']","[""White River Marine Group (through Cabela's)"", ""Cabela's""]",['Bass Pro Shops'],"['Founder and', 'Johnny Morris']","XXLarge (10,000+ Employees)"
Cincinnati Bell,cincinnatibell.com,Private,['Macquarie Infrastructure and Real Assets'],1873,,,"Cincinnati, Ohio, United States",Ohio,Cincinnati,XXLarge ($1B+),['Telecommunications'],"['IPTV', 'Local telephone service']","['Cincinnati Bell Telephone', 'Cincinnati Bell Any Distance', 'Hawaiian Telcom', 'CBTS', 'OnX Canada']",['Altafiber'],"['Leigh R. Fox', 'Joshua T. Duckworth', 'Thomas E. Simpson']","Large (1,000-4,999 Employees)"
"Bear Naked, Inc.",bearnaked.com,Subsidiary of Kellogg Company,['Kellogg Company'],2002,,,"La Jolla, California, US",California,La Jolla,,['Consumer Goods'],"['Oatmeal', 'Granola']",,,"['Kelly Flatley', 'Brendan Synnott']",
CH2M Hill,,Environmental Engineering,,1946,,True,"South Jamaica Street, Englewood, Colorado",Colorado,Jamaica,XXLarge ($1B+),['Engineering'],,,,"['Jacqueline Hinman', 'Gary L. McArthur']","XXLarge (10,000+ Employees)"
Green Flash Brewing Company,greenflashbrew.com,,,2002,,,"San Diego, CA, USA",California,San Diego,,['Alcoholic beverage'],['Beer'],['Alpine Beer Company'],,"['Mike Hinkley', 'Lisa Hinkley', '(brewmaster)', 'Erik Jensen']",Medium-Small (50-199 Employees)
Los Angeles Clippers,nba.com,,,1970,,,,,,,,,,,,
Academi,constellis.com,Private,,1997,,True,"Sunrise Valley Drive, Suite, Reston, Virginia, US, N, W, N W",Virginia,Valley,,['Private security services contractor'],"['Law enforcement training, logistics, close quarter training, and security services', 'Security management, full-service', 'risk management', 'consulting']",,,"['Al Clark', 'Erik Prince', 'Craig Nixon and Allen Schaffer']",
Local Motors,localmotors.com,Private,,2007,,True,"Phoenix, Arizona",Arizona,Phoenix,,['Motor vehicle manufacturing'],,,,['Vikrant Aggarwal'],
Geni.com,,,['MyHeritage'],2006,,,"Los Angeles, California, US",California,Los Angeles,,"['Genealogy, Social networking services']",,,,,
CA Technologies,ca.com,Public,,1976,,True,"Islandia, New York, United States",New York,Islandia,,['Software'],['Enterprise software'],,"['CA, Inc.', 'Computer Associates International, Inc.']","['Charles B. Wang', 'Russell Artzt']",
Extreme Pizza,extremepizza.com,Private,,1994,,,"San Francisco, California",California,San Francisco,,['Restaurant'],"['Pizzas, Sandwiches (main)']",,,,
GEO Group,geogroup.com,Public company,,1984,GEO,,"Boca Raton, Florida, US",Florida,Boca Raton,XXLarge ($1B+),['Security'],"['facilities', 'Private prisons', 'Mental health']","['GEO Transportation, Inc.', 'The GEO Group Australia', 'GEO Care, Inc.', 'GEO Corrections Holdings Inc.', 'The GEO Group UK Ltd.']",['The Wackenhut Corporation'],"['', 'George Zoley', 'Brian R. Evans', 'Jose Gordo']","XXLarge (10,000+ Employees)"
"Finish Line, Inc.",finishline.com,Subsidiary,['JD Sports'],1976,FINL,,"Indianapolis, Indiana, US",Indiana,Indianapolis,XXLarge ($1B+),['Athletic footwear and fashion'],"['Clothing', 'shoes']",,,"['(  &', 'Alan Cohen', 'Sam Sato', 'David Klapper']","XXLarge (10,000+ Employees)"
Colgan Air,colganair.com,,,1965,,,"Memphis, Tennessee, US, Manassas Regional Airport, Manassas, Virginia",Tennessee,Memphis,,,,,,"['(founder / former', 'John Spanjers (senior vice-president)', 'Charles Colgan']",
Salem Media Group,salemmedia.com,Public,,1974,SALM,,"N Beltline Road, Irving, Texas, United States",Texas,Irving,XLarge ($200MM-$1B),"['Radio broadcasting, publishing, internet content provider', 'Commercial', 'Mass media', 'radio broadcasting']",,,,"['Edward Atsinger III', 'Stuart Epperson']","Large (1,000-4,999 Employees)"
Moody National Bank,moodybank.com,Private,,1907,,,"Galveston, Texas, US",Texas,Galveston,XXLarge ($1B+),"['Investment services', 'Banking', 'Financial services']","['Finance', 'Trust services', 'Corporate Banking', 'Wealth Management', 'Loans', 'Mortgage loans', 'Consumer Banking']",,,"['William Lewis Moody, Jr.', 'Victor Pierson', 'Robert L. Moody', '  ,   &', 'Craig Barker', 'Moody Bancshares, Inc.', '']",Medium (200-499 Employees)
Sunoco,sunocolp.com,Delaware -domiciled master limited partnership ; controlled by Energy Transfer Partners,,1886,SUN,,"Dallas, Texas, US",Texas,Dallas,XXLarge ($1B+),['Petroleum industry'],"['Lubricants', 'Fuel', 'Additives', 'Diesel Exhaust Fluid', 'Kerosene', 'CardLock', 'Jet fuel', 'Chemicals', 'Heating oil', 'Propane', 'Diesel fuel']",,,"['Finance', 'Philip Pisano', 'Dylan Bramhall', 'Senior', 'Joseph Kim', 'Treasurer', ' and', 'General Counsel', 'Edward O. Emerson', 'Brian Hand, Chief Sales Officer', 'Chief Operations Officer', 'Joseph Newton Pew', 'Chief Financial Officer', 'Karl Fails', 'Arnold Dodderer', 'Scott Grischow', 'Alison Gladwin, Chief Marketing & Administration Officer', 'Chief   Officer']","Large (1,000-4,999 Employees)"
Penn Station (restaurant),penn-station.com,Private,,1985,,,"Cincinnati, Ohio, United States",Ohio,Cincinnati,XLarge ($200MM-$1B),"['Restaurants', 'Fast casual']","['Sandwiches', 'salads', 'wraps']",['Planet Sub'],['Penn Station East Coast Subs'],"['Jeff Osterfeld', 'Jeff Osterfeld']","Large (1,000-4,999 Employees)"
Hollister Co.,hollisterco.com,Division,,2000,,,"New Albany, Ohio, US",Ohio,New Albany,,['Retail'],"['fragrances', 'Apparel', 'accessories']",,,"['Fran Horowitz', 'Abercrombie & Fitch', '( of parent company']",
Tobin Arms,,Private,,1905,,True,"Woodstock, Ontario, Canada",,Woodstock,,['Weapons'],['Shotguns'],,"['Gladstone Blake Crandall, trading as ""Manufacturer of Tobin Guns (Successor to Tobin Arms Co.)""']","['Frank Major Tobin', 'A.L. Potter', 'vice-president', 'secretary-treasurer', ' and B.H. Palmer']",
SAE International,sae.org,Professional organization,,1905,,,"Warrendale, Pennsylvania",Pennsylvania,Warrendale,,"['Automotive', 'automobile', 'aerospace', 'commercial vehicle']","['Industry standards, membership, conferences, publications, professional development']",,,"['Thomas Edison', 'Andrew L. Riker', 'Henry Ford', 'Glenn Martin', 'Charles Kettering', 'Orville Wright']",
Six Flags,sixflags.com,Public company,,1961,,,"Arlington, Texas, US",Texas,Arlington,,['Theme parks'],,,"['Six Flags, Inc.']","['Ben Baldanza', 'Angus G. Wynne', 'Selim Bassoul', '(  &', '(Non-   )']","Large (1,000-4,999 Employees)"
Paychex,paychex.com,Public company,,1971,PAYX,,"Rochester, New York, US",New York,Rochester,XXLarge ($1B+),"['Human Capital Management', 'Business Process Outsourcing']",['Payroll and HR services'],,,"['Martin Mucci (president &', 'Efrain Rivera (senior   & )', 'B. Thomas Golisano', '(chairman)']","XXLarge (10,000+ Employees)"
Ocean State Job Lot,oceanstatejoblot.com,Private,,1977,,,"North Kingstown, Rhode Island",Rhode Island,North Kingstown,,['Discount retail'],"['Gifts, Housewares, Food, Flooring, Books, Toys, Hardware, Electronics, Clothing, Lawn and Garden, Health and Beauty, Sporting Goods, Pet Supplies, Automotive, Seasonal', 'Various']",['Unknown restaurants'],,"['Ocean State Jobbers, Inc.', 'Marc Perlman, Alan Perlman, Roy Dubs', 'Marc Perlman, Alan Perlman, Steve Aronow']","XLarge (5000-10,000 Employees)"
Bed Bath %26 Beyond,bedbathandbeyond.com,Public company,,1971,BBBYQ,True,"Union, New Jersey, US",New Jersey,Union,XXLarge ($1B+),['Retail'],"['Bedding, bath, home furnishings, decor, housewares, small kitchen appliances, and curtains']",['Buy Buy Baby'],"[""Bed 'n Bath""]","['Sue Gove (', 'Leonard Feinstein', 'Warren Eisenberg', 'Chair', 'Harriet Edelman']","XXLarge (10,000+ Employees)"
Crane Co.,craneco.com,Public company,,1855,CR,,"Stamford, Connecticut, US",Connecticut,Stamford,XXLarge ($1B+),['Industrial conglomerate'],"['Aerospace & Electronics, Engineered Materials, Payment and Merchandising Technologies, Fluid Handling, Sensing & Control Systems']",,['Crane Co.'],"['Max Mitchell,   &', 'Robert S. Evans', '', 'Richard T. Crane']","XXLarge (10,000+ Employees)"
Lowe%27s,lowes.com,Public,,1921,LOW,,"Mooresville, North Carolina, United States",North Carolina,Mooresville,XXLarge ($1B+),['Retail'],"['furniture', 'curtains', 'plumbing', 'hardware', 'plants', 'lumber', 'paint', 'bedding', ' and', 'building materials', 'builders hardware', 'housewares', 'Home appliances', 'tools', 'home decor', 'flooring', 'garden supplies']","['Maintenance Supply Headquarters', 'Central Wholesalers']","[""Mr. L.S. Lowe's North Wilkesboro Hardware""]","['Lucius Smith Lowe', 'Marvin R. Ellison']","XXLarge (10,000+ Employees)"
Fantasy Flight Games,fantasyflightgames.com,Division,['Asmodee North America'],1995,,,"Roseville, Minnesota, United States",Minnesota,Roseville,,['Tabletop games'],"['card games', 'Role-playing games', 'dice games', 'board games']",,,"['Christian T. Petersen', 'Chris Gerber']",Medium-Small (50-199 Employees)
Samsonite,samsonite.com,Société Anonyme,,1910,SEHK,,"Luxembourg City, Luxembourg, registered office, Tsim Sha Tsui, Hong Kong, financial, Mansfield, Massachusetts, corporate",Massachusetts,Mansfield,,,,,['SAMSONITE'],"['Kyle Gendreau', 'Jesse Shwayder']","XXLarge (10,000+ Employees)"
AES Corporation,aes.com,Public company,,1981,AES,,"Arlington, Virginia, US",Virginia,Arlington,XXLarge ($1B+),['Energy'],['Electricity'],,"['Applied Energy Services, Inc.']","['(  &', 'Roger Sant', 'Andres Gluski', 'Dennis Bakke', 'Jay Morse ( )']","XLarge (5000-10,000 Employees)"
Brinker International,brinker.com,Public,,1991,EAT,,"Dallas, Texas, US",Texas,Dallas,XXLarge ($1B+),['Restaurant'],['Foodservice'],"[""Chili's"", ""Maggiano's Little Italy""]","[""Chili's, Inc."", ""Chili's Grill & Bar""]","['and', '(Brinker International, Inc.)', ""(Chili's Grill & Bar)"", 'Kevin Hochman', 'Norman E. Brinker', 'Larry Lavine']","XXLarge (10,000+ Employees)"
FBR Capital Markets,brileyfbr.com,Subsidiary,,1989,,,"Arlington, Virginia, United States",Virginia,Arlington,Large ($100MM-$200MM),['Financial Institution'],"['Investment banking', 'Brokerage']",,,,Medium (200-499 Employees)
Young Conaway Stargatt %26 Taylor,youngconaway.com,,,,,,"Wilmington, Delaware",Delaware,Wilmington,,,,,,"['Hy Young, H. James Conaway Jr., Bruce M. Stargatt and William F. Taylor']",
Hanover Insurance,hanover.com,Public company,,1852,THG,,"Worcester, Massachusetts, United States",Massachusetts,Worcester,,['Insurance'],"['Casualty insurance', 'Property insurance']",,,['John Roche (  and Chief   Officer)'],"XLarge (5000-10,000 Employees)"
Harley-Davidson,harley-davidson.com,Public,,1903,HOG,,"Milwaukee, Wisconsin, US, N, W, N W",Wisconsin,Milwaukee,XXLarge ($1B+),,['Motorcycles'],"['Harley-Davidson Brazil', 'Harley-Davidson EMEA', 'Harley-Davidson Asia', 'Harley-Davidson India']",,"['William S. Harley', 'Walter Davidson', '( and chairman)', 'Arthur Davidson', 'Jochen Zeitz', 'William A. Davidson']","XLarge (5000-10,000 Employees)"
Amgen,amgen.com,Public,,1980,AMGN,,"Thousand Oaks, California, US",California,Thousand Oaks,XXLarge ($1B+),['Biotechnology'],"['Blincyto', '/', 'Neupogen', 'Xgeva', 'Aimovig', 'Repatha', 'Neulasta', 'Sensipar', 'Enbrel', 'Kyprolis', 'Parsabiv', 'Nplate', 'Mimpara', 'Aranesp', 'Epogen', 'Prolia', 'Kineret', 'Vectibix']",,['Applied Molecular Genetics'],['Robert A. Bradway'],"XXLarge (10,000+ Employees)"
"Warren, Pennsylvania",cityofwarrenpa.org,,,1795,,,,,,,,,,,,
Wendy%27s,wendys.com,Subsidiary,"[""The Wendy's Company""]",1969,,,"Dave Thomas Boulevard, Dublin, Ohio, US",Ohio,Thomas,,['Restaurant'],"['Chicken sandwich', 'Breakfast sandwich', 'Hamburgers', 'Frozen dessert', 'Salads', 'French fries']",,,"['Todd A. Penegor ( ', 'Carl Loredo', 'Dave Thomas']",
Mediacom,mediacomcable.com,Private,,1995,,,"Blooming Grove, New York",New York,Blooming Grove,XXLarge ($1B+),['Telecommunications'],"['Cable telephony', 'Broadband Internet access', 'Cable television']","['Mediacom Broadband LLC', 'On Media', 'Mediacom Business', ':26', 'Mediacom LLC']",,"[')', 'Rocco B. Commisso']","Large (1,000-4,999 Employees)"
Loehmann%27s,,Private,,1921,,True,,,,,,"['Clothing, footwear, bedding, furniture, jewelry, beauty products, housewares']",,,['Esopus Creek'],
Ben Franklin Stores,,Private,,1877,,,"Mount Pleasant, Wisconsin, US",Wisconsin,Mount Pleasant,,,['Crafts'],,,['Promotions Unlimited'],
DDC-I,ddci.com,Privately held,,1985,,,"Phoenix, Arizona",Arizona,Phoenix,,"['safety-critical', 'embedded software']","['Ada', 'Compiler', ': Deos, HeartOS', 'systems:', 'Real-time operating systems']",,,"['Bob Morris,  /', 'Ole N.Oest, founder/']",
Applied Industrial Technologies,,Public company,,1923,AIT,,"Cleveland, Ohio, United States",Ohio,Cleveland,,,"['Industrial Rubber', 'Flow Control', 'Fluid Power', 'Bearings', 'Power Transmission', 'General Maintenance']",,,"['Joseph M. Bruening', 'Neil Schrimsher,   &']","XLarge (5000-10,000 Employees)"
Kimber Manufacturing,kimberamerica.com,Private,,1979,,,"Troy, Alabama",Alabama,Troy,,['Defense'],"['Weapons', 'Knives', 'Firearms', ' Accessories']",,,"['and owner', 'Leslie Edelman']",Medium (200-499 Employees)
E-Loan,eloan.com,Public,['Popular'],1997,,,"New York, New York, US",New York,New York,,['Financial services'],['Referral to partners for Loan products'],,,"['(CIO)', 'Ignacio Alvarez', 'Richard Carrión', '(   )', 'Camille Burckhart', 'Janina Pawlowski and Chris Larsen']","XLarge (5000-10,000 Employees)"
SuperAmerica,,Subsidiary,['Marathon Petroleum'],1960,,True,"Woodbury, Minnesota, United States",Minnesota,Woodbury,,"['Retail', 'convenience stores']",,,"['via Speedway', '7-Eleven']","['Elmer Erickson', 'David L. Lamp,   and']",
"Silver Spring Township, Cumberland County, Pennsylvania",sstwp.org,,,,,,,,,,,,,,,
Insight Enterprises,insight.com,Public,,1988,NSIT,,"Tempe, Arizona, United States",Arizona,Tempe,XXLarge ($1B+),"[']', 'Commercial & Public Sector', '[', 'buzzword', 'Business to Business', 'IT Solutions']","['Power', 'Software', 'Licensing', 'Devices', 'Data center', 'IT Services', 'Servers', 'Storage']","['BlueMetal, Ignia, Datalink, Caase.com, Cardinal Solutions, PCM']",,"['( &  )', '(CIO)', 'Emma de Sousa', 'Joyce Mullen', '()', 'Glynis Bryan', 'Sumana Nallapati', '(  EMEA)']","XXLarge (10,000+ Employees)"
Elanex,elanex.com,Private company,['Straker Translations'],2002,,,"San Francisco, California, USA",California,San Francisco,,['Translation services'],"['Language localization', 'machine translation', 'interpreting', 'translation']",,,"['( , ,  )', 'Donald Plumley', 'Jonathan Kirk']",
Avaya,avaya.com,Private,,2000,,,"Morristown, New Jersey, United States",New Jersey,Morristown,XXLarge ($1B+),['Technology'],"['Digital communications products, services']",,['Lucent Technologies'],['Alan Masarek'],"XLarge (5000-10,000 Employees)"
Great Planes Model Manufacturing,greatplanes.com,,,1982,,,"Champaign, Illinois, United States",Illinois,Champaign,,,,,['Great Planes'],['Don Anderson'],
DigiCert,digicert.com,Private company,,2003,,,"Lehi, Utah, US",Utah,Lehi,,"['IoT security', 'Internet security', 'Public key infrastructure']",,"['GeoTrust', 'RapidSSL', 'QuoVadis', 'CyberTrust', 'Mocana', 'DNS Made Easy', 'Thawte']",,"['Amit Sinha (executive)', 'Deepika Chauhan', 'Christophe Bodin', 'Jason Sabin']","Large (1,000-4,999 Employees)"
GE Measurement %26 Control,gemeasurement.com,,['Baker Hughes'],2001,,,"Billerica, MA, USA",Massachusetts,Billerica,,"['power generation', 'oil and gas', 'Aerospace']",,,,['Brian Palmer ('],"XXLarge (10,000+ Employees)"
EQT,eqt.com,Public company,,1888,EQT,,"EQT Plaza, Pittsburgh, Pennsylvania, US",Pennsylvania,Plaza,XXLarge ($1B+),['Petroleum industry'],"['Natural gas', 'Natural gas liquids', 'Petroleum']",,,"['David Khani', 'John McCartney', 'Michael and Obediah Haymaker', 'Toby Z. Rice']",Medium-Large (500-999 Employees)
Meijer,meijer.com,Private,['Meijer Companies LTD.'],1934,,,"Walker, Michigan, US",Michigan,Walker,XXLarge ($1B+),"['Retail (Grocery & Discount)', 'Gasoline stations']","['Groceries, clothing, footwear, gasoline, sporting clothing, bedding, furniture, jewelry, health and beauty products, toys, sporting equipment, electronics, housewares and pet supplies']",,,"['Hank Meijer', 'Doug Meijer', 'Hendrik Meijer', 'Rick Keyes,   and', 'Frederik Meijer', ' former chairman emeritus', ' co-chair', 'Mark Murray']","XXLarge (10,000+ Employees)"
Ventria Bioscience,ventria.com,Private company,,1993,,,"Fort Collins, CO",Colorado,Fort Collins,,['Biotechnology'],['Bioscience Products'],,,,
American Line,,,,1871,,True,Philadelphia,,Philadelphia,,['Shipping'],,,,,
Dollar Bank,dollar.bank,Mutual society,,1855,,,"Pittsburgh, Pennsylvania",Pennsylvania,Pittsburgh,XXLarge ($1B+),['Financial services'],,,,"['James J. McQuade,   and']","Large (1,000-4,999 Employees)"
Bose Corporation,bose.com,Private,,1964,,,"Framingham, Massachusetts, US",Massachusetts,Framingham,XXLarge ($1B+),['Audio electronics'],['Audio equipment'],,,"['Amar Bose', '(majority)', 'Jim Scammon,   and', 'Bob Maresca,  , former', 'Lila Snyder', 'Massachusetts Institute of Technology']","XLarge (5000-10,000 Employees)"
Pointe of View Winery,povwinery.com,,,2002,,,,,,,,,,,"['Jeff & Diana Peterson, Ken & Cindy Eggleston']",
Bank of Utah,bankofutah.com,,,1952,,,"Ogden, Weber County, Utah",Utah,Ogden,,['Banking'],['Financial services'],"['Treasury Management', 'Home Loans', 'Corporate Trust', 'Business Banking', 'Personal Trust', 'Wealth Management', 'Personal Banking', 'Private Banking', 'Commercial Loans']",,"['Branden P Hansen', 'Frank W. Browning']",Medium (200-499 Employees)
Ocean Pacific,oceanpacific.com,Subsidiary,['Iconix Brand Group'],1972,,,"Irvine, California, US",California,Irvine,,['Clothing'],"['T-shirts, sweatshirts, hoodies']",,,['Jim Jenks'],
Code Rebel,coderebel.com,Public,,2006,CDRB,True,"Kahului, Hawaii, United States",Hawaii,Kahului,,['Computer Software'],"['Mac Terminal Services', 'iRAPP TS', 'iRAPP', 'Remote Desktop Services']",,,"['Volodymyr Bykov', 'Arben Kane', 'Alex Kukhar']",
System Planning Corporation,sysplan.com,Private,,1970,,,"Arlington, Virginia",Virginia,Arlington,,,"['Research, Electronics, Computer Software', 'National Security']",,,"[' Founder and', 'Ronald L. Easley']",
Sikorsky Credit Union,sikorskycu.org,Credit union,,1948,,,"Stratford, Connecticut, United States",Connecticut,Stratford,,['Financial services'],"['Savings', 'mortgages', 'consumer loans', 'online banking', 'checking', 'credit cards', ';']",,,['Vincent Ciambriello Jr.'],
Zappos.com,zappos.com,Subsidiary,['Amazon'],1999,,,"Las Vegas, Nevada, US",Nevada,Las Vegas,XXLarge ($1B+),['Retail'],"['Shoes, handbags, eyewear, accessories, clothing']",,,"['Fred Mossler', 'Alfred Lin', 'Steve Hill', 'Coltin Hanson', 'Kedar Deshpande', 'Nick Swinmurn', '(Ex  & ex', 'Scott Schaefer', 'Arun Rajan', 'Tony Hsieh', '(Ex   of', 'Merchandising', '(Ex', '(Ex  ,  & )', '(Ex Best Friend)']","Large (1,000-4,999 Employees)"
Reed Smith,,,,,,,,,,XXLarge ($1B+),,,,,"['in Pittsburgh and Joseph B. Townsend on Philadelphia, Pennsylvania', 'James Hay Reed', 'Philander Knox']",
Thor Industries,thorindustries.com,Public,,1983,THO,,"Elkhart, Indiana, United States",Indiana,Elkhart,XXLarge ($1B+),['Recreational vehicle (RV)'],,"['below', 'See', 'subsidiaries']",,"['Wade Thompson', 'Bob Martin', 'Peter Busch Orthwein']","XXLarge (10,000+ Employees)"
TransMontaigne,,Subsidiary,"['Morgan Stanley', 'NGL Energy', 'ArcLight Capital Partners (from 2016)']",2005,TLP,,"Denver, Colorado, United States",Colorado,Denver,,,,,,['Frederick Boutin ('],
Grant %26 Eisenhofer,gelaw.com,,,,,,"Wilmington, Delaware",Delaware,Wilmington,,,,,,['Stuart M. Grant and Jay W. Eisenhofer'],
Weigel%27s,,Private,,1931,,,"Powell, Tennessee, US",Tennessee,Powell,,['Retail (convenience stores)'],,"['Broadacre Dairy Inc', 'Red Barn Foods LLC']",,['Lynn B. and William W. Weigel'],
Spectrum (TV service),spectrum.net,,,,,,,,,,,,,,['Charter Communications'],
Abgent,abgent.com,Public,['WuXi AppTec'],,WX,,US,,,,"['Biotech', 'Manufacturing', 'Life Sciences']","['custom antibody services', 'custom peptide services', 'peptides', 'antibodies', 'custom protein services']",,,,Medium (200-499 Employees)
"Annville Township, Lebanon County, Pennsylvania",annvilletwp.com,,,,,,,,,,,,,,,
Zambelli Fireworks,,,,1893,,,"Warrendale, Pennsylvania, though originally founded in, New Castle, United States",Pennsylvania,Warrendale,,,"['Pyrotechnics', 'Special Effects', 'Fireworks']",,,"[' Sr. & George Zambelli Jr., MD.', 'George Zambelli', 'Antonio Zambelli']",
Helicopter Association International,rotor.com,Trade Association,,1948,,,,,,,,,,,,
Lowrance Electronics,lowrance.com,Privately Held Owned by Navico,,1957,,,,,,,['Marine electronics'],"['Lowrance HDS Gen3, Gen2 and Gen2 Touch, Elite Ti, HOOK, SonarHub, 4G Broadband Radar']",,,"['Knut Frostad,   &']",
Celanese,celanese.com,Public,,1918,CE,,"Irving, Texas",Texas,Irving,XXLarge ($1B+),['Chemicals and advanced materials'],,,['Celanese AG'],"['Camille Dreyfus', 'Lori J. Ryerkerk', 'Scott Richardson']","XLarge (5000-10,000 Employees)"
Asbury Automotive Group,asburyauto.com,Public,,1995,ABG,,"Duluth, Georgia, US",Georgia,Duluth,XXLarge ($1B+),['Auto dealership'],['New and used vehicles'],,,"['Michael Welch', 'David W Hult', 'Dan Clara,   of Operations']","XXLarge (10,000+ Employees)"
